status_id,status_name,status_type,transit
"1641041","Привезет сам ЧМ СПБ","valid","1"
"1646930","Проверка Юля","valid","0"
"1646931","КЦ отказ предзаказ","valid","0"
"1654471","ДС черновик",\N,"0"
"1654472","ДС на подтверждение",\N,"0"
"1654474","ДС подтверждено",\N,"0"
"1654475","ДС выдано",\N,"0"
"1654476","ДС отказ",\N,"0"
"1656117","Перемещение ДС",\N,"0"
"1738056","Допка выполнена",\N,"0"
"1768462","Гарантия. Обращение",\N,"0"
"1768463","Гарантия. Уточнение информации",\N,"0"
"1768464","Гарантия. Одобрено",\N,"0"
"1768465","Гарантия. Отказ",\N,"0"
"1784962","Авто. Новый заказ",\N,"0"
"1784963","Авто. Подбор Авто",\N,"0"
"1784964","Авто. Согласование авто",\N,"0"
"1784965","Авто. Клиент думает",\N,"0"
"1784966","Авто. Ожидание оплаты",\N,"0"
"1784967","Авто. Ожидание доставки в Бишкек",\N,"0"
"1784968","Авто. Доставка Бишкек",\N,"0"
"1784969","Авто. Ожидание доставки в Москву",\N,"0"
"1784970","Авто. Доставка в Москву",\N,"0"
"1768467","Гарантия. Успешно слит",\N,"0"
"1784971","Авто. Не уговорил",\N,"0"
"1784972","Авто. Стоп фактор",\N,"0"
"1832510","Стоп. Партнер",\N,"0"
"1832511","Гарантия. Партнер",\N,"0"
"3021071","Привоз Смартфон",\N,"0"
"3021074","Привезет смартфон Полежаевская",\N,"0"
"3021075","Привезет смартфон Вернадского",\N,"0"
"3021072","Диагностика смартфон",\N,"0"
"3021073","В ремонт смартфон","success","0"
"3021102","ДЗ Смартфон",\N,"0"
"3021100","Ожидает выдачи Полежаевская",\N,"0"
"3021101","Ожидает выдачи Вернадского",\N,"0"
"2999091","Доп.доставка ОТКАЗ",\N,"0"
"3021103","Отказ от привоза Смартфон","valid","0"
"3100958","БТ выезд. Ошибка КЦ",\N,"0"
"3246650","Жалоба(Фейк)",\N,"0"
